Timestamp,How many years of software development experience do you have?,In what technologies are you proficient?,What university degree did you obtain?,"If applicable, what university(ies) did you attend?","What percentage of your work time do you spend developing software as opposed to performing other tasks like managing other people or projects, making sales, etc.?",Please select all that apply:,Referring to the company or project that you work for most of the time:,"If applicable, how many full-time employees does the company that you work for have?","If applicable, what's your job title at the company that you work at?","Excluding equity, how much money do you earn on a monthly basis?","Are you earning equity (stock, stock options, etc.)?"
1/15/2015 20:03:42,6 to 7 years,"ASP .NET, C#, HTML/CSS, Javascript, SQL, UML",Ingeniero de Sistemas,Autónoma del caribe ,100%,I am employed full-time,It's exclusively a Colombian company,>= 1000 employees,Ingeniero desarrollador. Net,"USD$1,000 - USD$1,999",No
1/16/2015 14:02:53,4 to 5 years,"HTML/CSS, Java, Javascript, Ruby, SQL, UML",Ingeniero de Sistemas,,80%,"I do freelance work, I am an entrepreneur, I'm only coding for fun",It's exclusively a Colombian company,< 10 employees,,"USD$1,000 - USD$1,999",No
1/15/2015 10:47:18,4 to 5 years,"HTML/CSS, Java, Mobile apps (Android), SQL",Ingeniero de Sistemas,universidad incca,80%,I am employed full-time,It's exclusively a Colombian company,< 10 employees,ingeniero de sistemas,"USD$2,000 - USD$2,999",No
1/16/2015 7:38:25,4 to 5 years,"ASP .NET, C#, HTML/CSS, Java, Javascript, Mobile apps (Windows), SQL, UML, Visual Basic",Ingeniero en Multimedia,,30%,"I do freelance work, I'm only coding for fun",It's a multinational with presence in Colombia,10 - 19 employees,software developer,USD$1 - USD$999,No
1/15/2015 12:53:05,5 to 6 years,"ASP .NET, C#, HTML/CSS, Javascript, Ruby, SQL, UML",Ingeniero de Sistemas,ITM,90%,I am employed full-time,,50 to 99 employees,Software web development,"USD$1,000 - USD$1,999",No
1/15/2015 13:40:27,1 to 2 years,"ASP .NET, C#, HTML/CSS, Java, Javascript, Mobile apps (Android), PHP, SQL",I didn't attend a university,fundación san mateo,80%,I am unemployeed,It's exclusively a Colombian company,50 to 99 employees,,USD$1 - USD$999,No
1/15/2015 15:05:42,2 to 3 years,"HTML/CSS, Javascript, Ruby, Shell",Ingeniero de Sistemas,Politecnico Jaime Isaza Cadavid,100%,"I am employed full-time, I do freelance work",It's a company located outside of Colombia,10 - 19 employees,Developer,"USD$4,000 - USD$4,999",No
1/16/2015 12:22:46,8 to 9 years,"ASP .NET, C#, SQL, UML",Ingeniero de Sistemas,"Universidad Antonio Nariño, Universidad San Buenaventura Cali",20%,I am employed full-time,It's a multinational with presence in Colombia,>= 1000 employees,Senior Consultant,"USD$2,000 - USD$2,999",No
1/15/2015 9:26:31,2 to 3 years,"HTML/CSS, Javascript, PHP, SQL",I am still in high school,universidad el bosque,70%,I am employed full-time,It's a multinational with presence in Colombia,200 to 499 employees,supervisor proyectos SAP,"USD$1,000 - USD$1,999",Yes
1/16/2015 2:00:47,3 to 4 years,"ASP .NET, C#, HTML/CSS, Java, Javascript, SQL, UML",Ingeniero de Sistemas,universidad libre,100%,I am employed full-time,It's a company located outside of Colombia,50 to 99 employees,senior software developer,"USD$2,000 - USD$2,999",Yes
1/16/2015 6:21:24,> 10 years,"ASP .NET, HTML/CSS, Java, Javascript, PHP, SQL, UML, Visual Basic",Ingeniero de Sistemas,Andes,0%,"I am an entrepreneur, I'm only coding for fun",It's a multinational with presence in Colombia,< 10 employees,CEO,"USD$1,000 - USD$1,999",Yes
1/15/2015 10:45:50,< 1 year,"HTML/CSS, Java, Javascript, SQL",Ingeniero de Sistemas,,100%,I am employed full-time,It's a multinational with presence in Colombia,10 - 19 employees,Developer,"USD$1,000 - USD$1,999",Yes
1/15/2015 13:22:38,1 to 2 years,"C, HTML/CSS, Java, Javascript, Matlab, PHP, Python, Ruby",Other degree,,80%,"I am employed full-time, I do freelance work, I am an entrepreneur, I'm only coding for fun",It's exclusively a Colombian company,< 10 employees,Full Stack Developer,"USD$1,000 - USD$1,999",No
1/15/2015 17:48:59,4 to 5 years,"C++, Erlang, Java, Javascript, Matlab, Perl, PHP, Python, Ruby, Shell, SQL",Ingeniero de Sistemas,Universidad del Norte,80%,I am employed full-time,It's a multinational with presence in Colombia,100 to 199 employees,Developer,"USD$1,000 - USD$1,999",No
1/16/2015 4:41:01,1 to 2 years,"C++, HTML/CSS, Javascript, PHP, Python","I took some university classes, but did not graduate",EAFIT,70%,"I am employed part-time, I do freelance work, I'm only coding for fun",It's exclusively a Colombian company,< 10 employees,web developer,USD$1 - USD$999,No
1/15/2015 18:19:51,1 to 2 years,"C++, HTML/CSS, Javascript, PHP, Python","I took some university classes, but did not graduate",EAFIT,70%,"I am employed part-time, I do freelance work, I'm only coding for fun",It's exclusively a Colombian company,< 10 employees,web developer,USD$1 - USD$999,No
1/16/2015 10:08:08,4 to 5 years,"BPMN, HTML/CSS, Go, Groovy, Java, Mobile apps (Android), Perl, PHP, Python, Ruby, SQL",Ingeniero de Sistemas,Universidad de los Andes,100%,"I am employed full-time, I am employed part-time, I do freelance work, I am an entrepreneur, I'm only coding for fun",It's a multinational with presence in Colombia,200 to 499 employees,SDET,"USD$3,000 - USD$3,999",No
1/15/2015 14:14:36,1 to 2 years,"HTML/CSS, Java, Matlab, Mobile apps (Android), Mobile apps (iOS), Objective-C, Visual Basic",Other degree,Eafit,40%,I am an entrepreneur,It's exclusively a Colombian company,,CEO,USD$1 - USD$999,Yes
1/15/2015 18:56:16,2 to 3 years,"HTML/CSS, Javascript",Ingeniero de Sistemas,Fundación Universidad del Norte,80%,I do freelance work,It's a company located outside of Colombia,10 - 19 employees,Front-End Developer,"USD$1,000 - USD$1,999",No
1/15/2015 13:56:13,> 10 years,"HTML/CSS, Java, Javascript, Mobile apps (iOS), Objective-C, PHP, Ruby, Shell, SQL, Visual Basic",Ingeniero de Sistemas,ITM,90%,"I am employed full-time, I do freelance work, I am an entrepreneur",It's a company located outside of Colombia,< 10 employees,Ruby developer,"USD$3,000 - USD$3,999",No
1/19/2015 6:56:55,4 to 5 years,"Java, SQL, UML",Ingeniero de Sistemas,Escuela Colombiana de Ingenieria Julio Garavito,50%,I am employed full-time,It's a multinational with presence in Colombia,>= 1000 employees,QA Senior Engineer,"USD$2,000 - USD$2,999",No
1/15/2015 17:35:57,1 to 2 years,"ASP .NET, C#, HTML/CSS, Javascript, SQL, Visual Basic",Other degree,software engineer,70%,I am employed full-time,It's exclusively a Colombian company,100 to 199 employees,Junior Developer,USD$1 - USD$999,No
1/15/2015 13:19:37,< 1 year,"C#, Java, Javascript, Mobile apps (Android), Mobile apps (iOS), Mobile apps (Windows), Objective-C, SQL, UML",Ingeniero de Sistemas,Universidad de Caldas,100%,I am employed full-time,It's exclusively a Colombian company,200 to 499 employees,Ingeniero Desarrollador,USD$1 - USD$999,Yes
1/17/2015 3:48:01,> 10 years,SQL,Ingeniero de Sistemas,Universidad Autónoma de Colombia,40%,I do freelance work,It's a company located outside of Colombia,>= 1000 employees,Data Analyst,"> USD$10,000",No
1/16/2015 19:54:37,> 10 years,"C#, HTML/CSS, Java, Javascript, Mobile apps (Android), Mobile apps (iOS), Mobile apps (Windows), Objective-C, SQL, UML",Ingeniero de Sistemas,"eafit, upv",60%,"I am employed full-time, I am an entrepreneur",It's exclusively a Colombian company,10 - 19 employees,,"USD$2,000 - USD$2,999",Yes
1/15/2015 16:22:55,7 to 8 years,"ASP .NET, C#, HTML/CSS, Javascript, SQL, UML",Ingeniero de Sistemas,Universidad industrial de santander,70%,I am employed full-time,It's a multinational with presence in Colombia,500 to 999 employees,Ingeniero de desarrollo,"USD$1,000 - USD$1,999",Yes
1/15/2015 10:43:25,6 to 7 years,"HTML/CSS, Java, Javascript, Mobile apps (Android), Mobile apps (iOS), Objective-C, PHP, SQL",Ingeniero de Sistemas,unad,70%,"I am employed full-time, I do freelance work",It's exclusively a Colombian company,20 to 49 employees,Mobile developer senior,"USD$2,000 - USD$2,999",Yes
1/19/2015 8:25:59,8 to 9 years,"HTML/CSS, PHP",Ingeniero de Sistemas,UNIVERSIDAD DEL QUINDIO,80%,I am employed full-time,It's exclusively a Colombian company,500 to 999 employees,ANALISTA DE INFORMATICA,USD$1 - USD$999,No
1/16/2015 12:22:06,4 to 5 years,Java,Ingeniero de Sistemas,Universidad Nacional,100%,I am employed full-time,It's a company located outside of Colombia,< 10 employees,,"USD$3,000 - USD$3,999",No
1/15/2015 12:33:28,3 to 4 years,"ASP .NET, C#, HTML/CSS, Javascript, Mobile apps (Windows), Visual Basic",Ingeniero de Sistemas,Universidad Libre,100%,I am employed full-time,It's exclusively a Colombian company,200 to 499 employees,Ingeniero de Desarrollo Junior,"USD$1,000 - USD$1,999",No
1/15/2015 13:51:10,> 10 years,"C, C++, Java, Matlab, Python, SQL",Ingeniero de Sistemas,unal,10%,"I am employed full-time, I'm only coding for fun",It's exclusively a Colombian company,< 10 employees,prof,"USD$3,000 - USD$3,999",Yes
1/18/2015 4:01:02,1 to 2 years,"Java, Python, R",Ingeniero de Sistemas,Universidad del Valle,80%,I am employed full-time,It's a company located outside of Colombia,50 to 99 employees,R&D Engineer,"USD$4,000 - USD$4,999",Yes
1/15/2015 13:49:50,3 to 4 years,"ASP .NET, C#, HTML/CSS, Javascript, SQL",I am still in high school,UPB,80%,I am employed full-time,It's exclusively a Colombian company,< 10 employees,Senior developer,"USD$1,000 - USD$1,999",No
1/18/2015 6:55:38,1 to 2 years,"ASP .NET, C#, HTML/CSS, Java, Javascript, PHP, SQL, UML, Visual Basic",Ingeniero de Sistemas,UIS,70%,I am employed full-time,It's a multinational with presence in Colombia,>= 1000 employees,,"USD$1,000 - USD$1,999",No
1/19/2015 4:26:43,4 to 5 years,"Java, Javascript, Mobile apps (Android), PHP, SQL, UML",Ingeniero de Sistemas,UNIVERSIDAD DEL VALLE,60%,"I am employed part-time, I do freelance work, I am unemployeed",It's exclusively a Colombian company,10 - 19 employees,SOFTWARE ENGINEER,"USD$1,000 - USD$1,999",No
1/16/2015 7:05:21,9 to 10 years,"ASP .NET, C, C#, C++, HTML/CSS, Java, Javascript, SQL, UML, Visual Basic",Ingeniero de Sistemas,Universidad Piloto,80%,I am employed full-time,It's exclusively a Colombian company,< 10 employees,Ingeiero Senior,"USD$1,000 - USD$1,999",No
1/16/2015 13:47:41,2 to 3 years,"HTML/CSS, Javascript",Ingeniero de Sistemas,Universidad del norte ,50%,I am unemployeed,It's exclusively a Colombian company,20 to 49 employees,Consultor Funcional ,USD$1 - USD$999,No
1/15/2015 10:28:20,4 to 5 years,"HTML/CSS, Java, Javascript, Mobile apps (Android), PHP, Shell, SQL",Ingeniero de Sistemas,Javeriana Cali,100%,I am employed full-time,It's exclusively a Colombian company,200 to 499 employees,Ingeniero de Desarrollo Web,"USD$1,000 - USD$1,999",No
1/15/2015 14:21:07,4 to 5 years,Java,Ingeniero de Sistemas,Universidad de Antioquia,100%,I am employed full-time,It's a multinational with presence in Colombia,200 to 499 employees,Consultant,USD$1 - USD$999,No
1/15/2015 18:10:23,6 to 7 years,"HTML/CSS, Java, Javascript, SQL, UML",Ingeniero de Sistemas,Politécnico Grancolombiano,70%,I am employed full-time,It's a multinational with presence in Colombia,>= 1000 employees,Java Developer,"USD$2,000 - USD$2,999",Yes
1/16/2015 11:10:10,4 to 5 years,"C++, HTML/CSS, Java, Javascript, Matlab, PHP, Python, SQL",Ingeniero de Mecatrónica,Universidad Nacional ,60%,I am an entrepreneur,It's exclusively a Colombian company,< 10 employees,CTO,"USD$1,000 - USD$1,999",Yes
1/16/2015 6:00:24,8 to 9 years,"HTML/CSS, Javascript, PHP, SQL",Ingeniero de Sistemas,universidad de manizales,100%,"I am employed full-time, I do freelance work, I'm only coding for fun",It's exclusively a Colombian company,< 10 employees,senior backend developer,"USD$1,000 - USD$1,999",No
1/17/2015 20:57:30,3 to 4 years,"Groovy, Java, Javascript, Mobile apps (Android), Python",Ingeniero de Sistemas,Universidad Piloto de Colombia Seccional Alto Magdalena,20%,I do freelance work,It's a company located outside of Colombia,10 - 19 employees,Android Engineer,"USD$3,000 - USD$3,999",No
1/15/2015 10:37:46,6 to 7 years,"ASP .NET, C, HTML/CSS, Java, Javascript, SQL, Visual Basic",Ingeniero de Sistemas,Universidad San Martin,90%,I am employed full-time,It's a multinational with presence in Colombia,200 to 499 employees,Functional Consultant,"USD$2,000 - USD$2,999",No
1/15/2015 19:01:21,1 to 2 years,"ASP .NET, SQL, Visual Basic",Other degree,Universidad del Magdalena,100%,I am employed full-time,It's exclusively a Colombian company,20 to 49 employees,software developer,USD$1 - USD$999,No
1/15/2015 12:36:49,6 to 7 years,"C, C#, C++, HTML/CSS, Java, Javascript, Mobile apps (Android), Mobile apps (Windows), PHP, Python, SQL, UML",Ingeniero de Sistemas,,50%,I do freelance work,It's exclusively a Colombian company,,,"USD$3,000 - USD$3,999",Yes
1/15/2015 17:39:08,4 to 5 years,"C#, Java, Javascript, Shell",Ingeniero de Sistemas,Universidad Simon Bolivar,30%,I am employed part-time,It's a multinational with presence in Colombia,>= 1000 employees,Arquitecto de Soluciones,"USD$2,000 - USD$2,999",Yes
1/16/2015 12:38:02,> 10 years,"ASP .NET, C#, HTML/CSS, Javascript, SQL, Visual Basic",Ingeniero de Sistemas,universidad piloto de colombia,80%,"I am employed full-time, I do freelance work, I am an entrepreneur",It's a company located outside of Colombia,100 to 199 employees,analista desarrollador,"USD$2,000 - USD$2,999",No
1/15/2015 12:27:20,4 to 5 years,"Javascript, Ruby, SQL",Ingeniero de Sistemas,Universidad del Norte,90%,I am employed full-time,It's a company located outside of Colombia,50 to 99 employees,Senior Web Developer,"USD$1,000 - USD$1,999",No
1/16/2015 21:20:39,6 to 7 years,"C#, HTML/CSS, Java, Javascript, Mobile apps (Android), Mobile apps (Blackberry), Mobile apps (iOS), Mobile apps (Windows), Objective-C, PHP, SQL, UML",Ingeniero de Sistemas,,70%,I am employed full-time,It's exclusively a Colombian company,,,USD$1 - USD$999,Yes
1/15/2015 16:03:35,2 to 3 years,"HTML/CSS, Javascript, PHP, Ruby, Shell, SQL, Visual Basic",Ingeniero de Sistemas,"universidad del norte, corporacion universitaria latinoamericana",80%,"I am employed full-time, I do freelance work, I am an entrepreneur",It's exclusively a Colombian company,10 - 19 employees,Director de TI,"USD$1,000 - USD$1,999",No
1/15/2015 11:10:51,> 10 years,"ASP .NET, Java, SQL",Ingeniero de Sistemas,"National, Andes",40%,I am employed full-time,It's a multinational with presence in Colombia,50 to 99 employees,Td,"USD$4,000 - USD$4,999",No
1/15/2015 9:54:10,2 to 3 years,"HTML/CSS, Javascript, PHP, SQL","I took some university classes, but did not graduate",,90%,"I am employed full-time, I am employed part-time, I am an entrepreneur, I'm only coding for fun",It's a company located outside of Colombia,10 - 19 employees,Developer,"USD$4,000 - USD$4,999",No
1/15/2015 14:46:42,7 to 8 years,"ASP .NET, C#, C++, HTML/CSS, Java, Javascript, PHP, Scala, SQL, UML, Visual Basic",Ingeniero de Sistemas,Universidad Central,70%,"I do freelance work, I am an entrepreneur",It's exclusively a Colombian company,< 10 employees,,"USD$1,000 - USD$1,999",Yes
1/15/2015 13:15:22,> 10 years,"ASP .NET, C#, HTML/CSS, Javascript, SQL, Visual Basic",Other degree,CIDCA,90%,I am employed full-time,It's exclusively a Colombian company,>= 1000 employees,Analista de Soluciones TI Junior,"USD$1,000 - USD$1,999",No
1/15/2015 13:10:54,2 to 3 years,"HTML/CSS, Mobile apps (Android), Mobile apps (iOS), Objective-C",Other degree,"Universidad del Táchira,Venezuela",70%,I am employed full-time,It's a company located outside of Colombia,< 10 employees,,"USD$1,000 - USD$1,999",Yes
1/15/2015 21:54:46,3 to 4 years,"Assembly, C++, HTML/CSS, Java, Python",Ingeniero de Sistemas,Eafit,80%,"I am employed part-time, I am an entrepreneur",,,,USD$1 - USD$999,Yes
1/16/2015 6:23:06,2 to 3 years,"C, C#, C++, Java, Javascript, Scala, SQL, UML",Ingeniero de Sistemas,Universidad Distrital Francisco Jose de Caldas,80%,I am employed full-time,,50 to 99 employees,Ingeniero de Sistemas,"USD$1,000 - USD$1,999",No
1/15/2015 18:24:51,2 to 3 years,"ASP .NET, Assembly, C#, Matlab, SQL, Visual Basic","I took some university classes, but did not graduate",,60%,I'm only coding for fun,It's exclusively a Colombian company,< 10 employees,,"USD$2,000 - USD$2,999",No
1/18/2015 2:26:57,4 to 5 years,"Mobile apps (iOS), PHP, SQL, Swift",Other degree,Ingeniero de diseño y automatización electronica ,80%,I am employed full-time,It's a company located outside of Colombia,20 to 49 employees,Senior Web Developer,"USD$5,000 - USD$5,999",No
1/15/2015 12:24:24,9 to 10 years,"HTML/CSS, PHP",Ingeniero de Sistemas,"Universidad Nacional Abierta y a Distancia ""UNAD""",50%,I am employed full-time,It's exclusively a Colombian company,200 to 499 employees,Ingeniero de Sistemas,USD$1 - USD$999,No
1/20/2015 7:25:54,9 to 10 years,"Java, UML",Ingeniero de Sistemas,UPTC,100%,I am employed full-time,It's a multinational with presence in Colombia,20 to 49 employees,SENIOR DEVELOPER ,"USD$2,000 - USD$2,999",No
1/16/2015 5:11:02,5 to 6 years,"HTML/CSS, Java, Javascript, Mobile apps (Android), Mobile apps (Blackberry), Mobile apps (iOS), Objective-C, PHP, SQL, Visual Basic",Ingeniero de Sistemas,Universidad Nacional de Colombia,80%,I am an entrepreneur,It's exclusively a Colombian company,10 - 19 employees,Software developer,"USD$1,000 - USD$1,999",No
1/20/2015 7:56:41,> 10 years,"ASP .NET, C#, HTML/CSS, Javascript, PHP, SQL",Other degree,,40%,"I do freelance work, I am an entrepreneur, I'm only coding for fun",It's exclusively a Colombian company,,,USD$1 - USD$999,Yes
1/15/2015 18:14:57,6 to 7 years,"ASP .NET, C#, HTML/CSS, Javascript, SQL",Ingeniero de Sistemas,upb,70%,"I am employed full-time, I do freelance work",It's exclusively a Colombian company,200 to 499 employees,,"USD$1,000 - USD$1,999",Yes
1/15/2015 14:20:21,1 to 2 years,"HTML/CSS, Mobile apps (Windows), Python",Ingeniero Industrial,javeriana ,80%,I am an entrepreneur,It's exclusively a Colombian company,< 10 employees,marketing online director,"USD$1,000 - USD$1,999",Yes
1/16/2015 10:05:09,4 to 5 years,"C#, HTML/CSS, Java, Javascript, Mobile apps (Android), Mobile apps (iOS), Objective-C, Perl, PHP, Python, Ruby, Shell, SQL","I took some university classes, but did not graduate",,90%,"I do freelance work, I am an entrepreneur",It's a multinational with presence in Colombia,10 - 19 employees,Software Developer,"USD$3,000 - USD$3,999",No
1/15/2015 16:49:32,1 to 2 years,"HTML/CSS, Javascript, Mobile apps (Android), Mobile apps (iOS), PHP, SQL",Ingeniero de Sistemas,Fundacion Universidad del Norte,70%,I am employed full-time,It's a multinational with presence in Colombia,200 to 499 employees,Desarrollador,USD$1 - USD$999,No
1/16/2015 11:27:53,4 to 5 years,"Java, Javascript, PHP, SQL, UML",Ingeniero de Sistemas,Universidad de los Andes,80%,I am employed full-time,It's exclusively a Colombian company,20 to 49 employees,Consultor php,"USD$2,000 - USD$2,999",No
1/15/2015 15:35:21,5 to 6 years,"C, C++, Java, Scala",Ingeniero de Sistemas,Uniminuto,90%,I am employed full-time,It's a multinational with presence in Colombia,50 to 99 employees,Prodigious,"USD$2,000 - USD$2,999",No
1/15/2015 16:20:11,> 10 years,"ASP .NET, C, HTML/CSS, Javascript, PHP, Python, SQL, Visual Basic",Ingeniero de Sistemas,san martin,80%,"I am employed full-time, I do freelance work, I'm only coding for fun",It's a multinational with presence in Colombia,50 to 99 employees,senior developer,"USD$1,000 - USD$1,999",No
1/15/2015 12:57:33,5 to 6 years,"ASP .NET, C#, HTML/CSS, Java, Javascript, Mobile apps (Windows), SQL, UML, Visual Basic",Ingeniero de Sistemas,,70%,"I am employed full-time, I do freelance work, I am unemployeed",It's exclusively a Colombian company,< 10 employees,,"USD$1,000 - USD$1,999",No
1/21/2015 14:46:35,5 to 6 years,"HTML/CSS, Javascript, PHP, SQL",Ingeniero de Sistemas,UDI,80%,I am employed full-time,It's exclusively a Colombian company,>= 1000 employees,profesional informatica II,"USD$1,000 - USD$1,999",No
1/16/2015 5:06:18,> 10 years,"HTML/CSS, Javascript, PHP, SQL",Ingeniero de Sistemas,Uninorte,70%,I am employed full-time,It's a company located outside of Colombia,20 to 49 employees,User Interface Lead Developer,"USD$4,000 - USD$4,999",Yes
1/15/2015 10:14:43,9 to 10 years,"C, C++, HTML/CSS, Java, Javascript, Mobile apps (Android), Perl, PHP, Python, Shell, SQL, UML",Ingeniero de Sistemas,Universidad Nacional,90%,"I am employed full-time, I am an entrepreneur",It's a multinational with presence in Colombia,20 to 49 employees,,"USD$3,000 - USD$3,999",Yes
1/17/2015 10:52:34,6 to 7 years,"BPMN, HTML/CSS, Java, PHP, Shell, SQL, UML",Ingeniero de Sistemas,Universidad de Ibagué,30%,I am employed full-time,It's a multinational with presence in Colombia,20 to 49 employees,consultor senior,"USD$2,000 - USD$2,999",No
1/15/2015 10:39:07,4 to 5 years,"HTML/CSS, Java, Javascript, PHP, SQL",Ingeniero de Sistemas,univalle,100%,I am employed full-time,It's a multinational with presence in Colombia,20 to 49 employees,Ingeniero de Software,"USD$1,000 - USD$1,999",No
1/20/2015 8:42:58,9 to 10 years,Java,Ingeniero de Sistemas,Pontificia Universidad Javeriana - Bogotá,30%,I am employed full-time,It's exclusively a Colombian company,100 to 199 employees,Project Manager,"USD$3,000 - USD$3,999",No
1/15/2015 20:55:16,< 1 year,"C++, HTML/CSS, Java, Javascript, PHP, SQL, UML",Ingeniero de Sistemas,Universidad Francisco de Paula Santander,60%,I am employed full-time,It's exclusively a Colombian company,< 10 employees,SI,USD$1 - USD$999,No
1/15/2015 19:18:46,> 10 years,"Java, Mobile apps (Android)",I didn't attend a university,,70%,"I do freelance work, I am an entrepreneur, I'm only coding for fun",It's exclusively a Colombian company,,,"USD$2,000 - USD$2,999",No
1/17/2015 10:17:30,1 to 2 years,"Java, Javascript, SQL",Ingeniero de Sistemas,,100%,I am employed full-time,It's exclusively a Colombian company,100 to 199 employees,Developer,"USD$1,000 - USD$1,999",No
1/15/2015 14:41:12,4 to 5 years,"HTML/CSS, Javascript, PHP, Ruby, SQL",Ingeniero de Sistemas,Inpahu,10%,"I am employed full-time, I do freelance work, I am an entrepreneur",It's a multinational with presence in Colombia,100 to 199 employees,web programmer,USD$1 - USD$999,No
1/17/2015 15:12:10,> 10 years,"HTML/CSS, Javascript, PHP, Ruby, SQL",Ingeniero de Sistemas,Universidad de Ibagué,80%,I am an entrepreneur,It's a company located outside of Colombia,< 10 employees,CEO,"USD$1,000 - USD$1,999",Yes
1/16/2015 12:40:49,3 to 4 years,Python,Other degree,,30%,I do freelance work,,,,"USD$1,000 - USD$1,999",No
1/15/2015 12:34:12,> 10 years,"C++, Elixir, HTML/CSS, Java, Javascript, PHP, Ruby, Scala",Ingeniero de Sistemas,Universidad del Norte,40%,"I am employed full-time, I do freelance work",It's a multinational with presence in Colombia,>= 1000 employees,Technical Team Lead Developer,"USD$3,000 - USD$3,999",Yes
1/16/2015 12:21:46,3 to 4 years,"HTML/CSS, PHP, Python",Ingeniero de Sistemas,Unisangil,90%,I am employed full-time,It's exclusively a Colombian company,< 10 employees,Web Programmer,"USD$1,000 - USD$1,999",No
1/15/2015 11:27:22,4 to 5 years,"C, C++, Elixir, Erlang, Ruby, Scala",Ingeniero de Sistemas,,100%,I am employed full-time,It's a company located outside of Colombia,10 - 19 employees,Senior Software Engineer,"> USD$10,000",Yes
1/16/2015 15:46:12,4 to 5 years,"ASP .NET, C#, HTML/CSS, SQL, UML, Visual Basic",Ingeniero de Sistemas,,70%,I am unemployeed,It's a multinational with presence in Colombia,100 to 199 employees,,"USD$1,000 - USD$1,999",No
1/15/2015 13:31:26,4 to 5 years,"ASP .NET, HTML/CSS, Java, Javascript, Matlab, Perl, Shell, SQL, UML",Ingeniero de Sistemas,Universidad Nacional de Colombia,90%,"I am employed full-time, I do freelance work, I am an entrepreneur, I'm only coding for fun",It's a multinational with presence in Colombia,200 to 499 employees,Senior Software Engineer,"USD$2,000 - USD$2,999",No
1/15/2015 14:25:00,9 to 10 years,"C, Erlang, Javascript, PHP, Shell, SQL",Ingeniero de Sistemas,,90%,I am an entrepreneur,It's exclusively a Colombian company,20 to 49 employees,Backend Enginner,"USD$4,000 - USD$4,999",No
1/16/2015 17:18:05,2 to 3 years,"C++, HTML/CSS, Java, Javascript, Mobile apps (Android), PHP, SQL",I didn't attend a university,,80%,"I am employed full-time, I do freelance work",It's exclusively a Colombian company,>= 1000 employees,Analista de Sistemas,USD$1 - USD$999,No
1/16/2015 6:52:45,5 to 6 years,"Java, Javascript, Ruby, SQL",Ingeniero de Sistemas,Universidad de la Costa,100%,I am employed full-time,It's exclusively a Colombian company,50 to 99 employees,Web Developer,"USD$1,000 - USD$1,999",No
1/15/2015 13:58:57,5 to 6 years,"C, C++, HTML/CSS, Javascript, Mobile apps (iOS), Objective-C, PHP, Ruby, SQL","I took some university classes, but did not graduate",,90%,"I am employed full-time, I do freelance work, I'm only coding for fun",It's a multinational with presence in Colombia,>= 1000 employees,Web UI Developer ,"USD$2,000 - USD$2,999",No
1/16/2015 5:22:17,4 to 5 years,"HTML/CSS, Javascript, PHP, SQL","I took some university classes, but did not graduate",Universidad Distrital,50%,I am an entrepreneur,It's exclusively a Colombian company,< 10 employees,developer,"USD$2,000 - USD$2,999",No
1/15/2015 17:10:25,2 to 3 years,"C#, C++, HTML/CSS, Java, Javascript, Matlab, PHP, SQL",Ingeniero de Sistemas,,50%,I am employed part-time,It's exclusively a Colombian company,10 - 19 employees,Profesional de Apoyo,USD$1 - USD$999,No
1/15/2015 15:29:06,6 to 7 years,C#,Ingeniero de Sistemas,Universidad del Valle,80%,I am employed full-time,It's exclusively a Colombian company,50 to 99 employees,,"USD$2,000 - USD$2,999",No
1/15/2015 14:32:44,1 to 2 years,"C#, HTML/CSS, Java, Javascript, Matlab, Mobile apps (Android), PHP, Python, SQL, UML",Ingeniero de Sistemas,,80%,I am employed full-time,It's exclusively a Colombian company,50 to 99 employees,Coordinador de Sistemas,USD$1 - USD$999,No
1/16/2015 5:58:54,7 to 8 years,"HTML/CSS, Groovy, Java, Javascript, PHP, SQL, UML","I took some university classes, but did not graduate",,80%,I am employed part-time,It's exclusively a Colombian company,200 to 499 employees,Desarrollador,"USD$2,000 - USD$2,999",Yes
1/15/2015 14:02:38,5 to 6 years,"HTML/CSS, Java, Javascript",Ingeniero de Sistemas,FUSM,20%,I am employed full-time,It's exclusively a Colombian company,200 to 499 employees,ANALISTA DE DISEÑO Y ENTREGA DEL SERVICIO,"USD$1,000 - USD$1,999",No
1/17/2015 19:59:29,> 10 years,"ASP .NET, C#, HTML/CSS, Javascript, SQL, UML, Visual Basic",Ingeniero de Sistemas,Universidad de San Buenaventura Bogota,80%,I am employed full-time,It's exclusively a Colombian company,< 10 employees,Consultant,"USD$2,000 - USD$2,999",No
1/20/2015 20:33:19,1 to 2 years,"HTML/CSS, Java, PHP",Ingeniero de Sistemas,UNIVERSIDAD INDUSTRIAL DE SANTANDER,30%,"I am employed full-time, I do freelance work, I'm only coding for fun",It's a multinational with presence in Colombia,>= 1000 employees,Ingeniero de Soporte de Sistemas,"USD$1,000 - USD$1,999",No
1/15/2015 13:52:45,7 to 8 years,"ASP .NET, C#, HTML/CSS, Javascript",Ingeniero de Sistemas,"Politecnico Jaime Isaza Cadavid, Universidad EAFIT",80%,"I am employed full-time, I do freelance work, I'm only coding for fun",It's a multinational with presence in Colombia,>= 1000 employees,,"USD$2,000 - USD$2,999",No
